date, IPclient, PORTclient, IPserver, PORTserver, nproccess, interval, transferred_bytes, bits/s
20201111223338,10.0.0.1,60227,10.0.0.11,5201,3,10.0-11.0,1470,11760
20201111223338,10.0.0.11,50177,10.0.0.10,5201,3,10.0-11.0,1470,11760
20201111223338,10.0.0.4,57824,10.0.0.11,5201,3,10.0-11.0,1470,11760
20201111223338,10.0.0.3,56828,10.0.0.11,5201,3,10.0-11.0,1470,11760
20201111223338,10.0.0.0,52759,10.0.0.11,5201,3,10.0-11.0,1470,11760
20201111223338,10.0.0.8,57065,10.0.0.11,5201,3,10.0-11.0,1470,11760
20201111223338,10.0.0.7,38432,10.0.0.11,5201,3,10.0-11.0,1470,11760
20201111223338,10.0.0.9,35011,10.0.0.11,5201,3,10.0-11.0,1470,11760
20201111223338,10.0.0.10,44908,10.0.0.11,5201,3,10.0-11.0,1470,11760
20201111223338,10.0.0.6,57533,10.0.0.11,5201,3,10.0-11.0,1470,11760
20201111223339,10.0.0.4,43188,10.0.0.1,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.0,60012,10.0.0.1,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.2,32932,10.0.0.1,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.5,40747,10.0.0.1,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.3,43113,10.0.0.1,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.6,46378,10.0.0.1,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.10,59308,10.0.0.1,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.9,51924,10.0.0.1,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.7,47813,10.0.0.1,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.8,48609,10.0.0.1,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.6,33562,10.0.0.2,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.3,35022,10.0.0.2,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.4,58711,10.0.0.2,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.11,56810,10.0.0.1,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.8,38164,10.0.0.2,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.0,48644,10.0.0.2,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.11,38336,10.0.0.2,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.1,48687,10.0.0.2,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.10,34091,10.0.0.2,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.2,55885,10.0.0.3,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.5,58400,10.0.0.2,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.0,45249,10.0.0.3,5201,3,11.0-12.0,1470,11760
20201111223339,10.0.0.9,45172,10.0.0.2,5201,3,11.0-12.0,1470,11760
